@Relation Accident
@Attribute Location{Urban,Highway,Rural}
@Attribute Time{Morning,Night,Afternoon}
@Attribute Weather_Condition{Clear,Foggy,Rainy}
@Attribute Road_Condition{Dry,Under_Construction,Wet}
@Attribute Vehicle_Type{Car,Motorcycle,Truck}
@Attribute Injury_Severity{Severe,Fatal,Minor}
 
@Data
Urban,Morning,Clear,Dry,Car,Severe
Urban,Night,Clear,Dry,Motorcycle,Fatal
Highway,Morning,Clear,Dry,Car,Fatal
Rural,Night,Clear,Under_Construction,Car,Minor
Highway,Morning,Foggy,Wet,Motorcycle,Severe
Rural,Morning,Foggy,Dry,Car,Severe
Urban,Afternoon,Rainy,Wet,Truck,Fatal
Urban,Night,Foggy,Wet,Truck,Fatal
Highway,Night,Foggy,Wet,Car,Severe
Urban,Night,Rainy,Dry,Truck,Severe
Urban,Afternoon,Rainy,Wet,Truck,Fatal
Highway,Afternoon,Foggy,Wet,Car,Severe
Urban,Morning,Foggy,Under_Construction,Car,Minor
Urban,Night,Rainy,Wet,Car,Severe
Urban,Night,Clear,Dry,Truck,Severe
Highway,Afternoon,Clear,Dry,Motorcycle,Minor
Urban,Morning,Clear,Under_Construction,Motorcycle,Fatal
Highway,Night,Clear,Dry,Car,Fatal
Highway,Night,Foggy,Wet,Car,Severe
Highway,Night,Clear,Under_Construction,Car,Fatal
Rural,Morning,Foggy,Under_Construction,Motorcycle,Severe
Highway,Afternoon,Foggy,Wet,Car,Fatal
Rural,Morning,Foggy,Under_Construction,Car,Severe
Urban,Night,Rainy,Dry,Truck,Severe
Urban,Night,Foggy,Dry,Truck,Severe
Highway,Morning,Clear,Wet,Truck,Fatal
Rural,Night,Clear,Dry,Car,Severe
Highway,Morning,Clear,Under_Construction,Car,Minor
Highway,Morning,Clear,Under_Construction,Car,Severe
Rural,Night,Clear,Under_Construction,Truck,Fatal
Highway,Night,Clear,Dry,Car,Fatal
Urban,Night,Rainy,Under_Construction,Motorcycle,Fatal
Highway,Morning,Rainy,Dry,Truck,Severe
Highway,Afternoon,Foggy,Wet,Motorcycle,Severe
Highway,Afternoon,Foggy,Dry,Car,Minor
Urban,Night,Clear,Wet,Motorcycle,Fatal
Urban,Afternoon,Clear,Dry,Motorcycle,Severe
Urban,Night,Foggy,Wet,Motorcycle,Minor
Rural,Night,Foggy,Under_Construction,Motorcycle,Severe
Rural,Morning,Clear,Dry,Car,Fatal
Urban,Morning,Rainy,Dry,Car,Fatal
Rural,Afternoon,Foggy,Wet,Motorcycle,Minor
Rural,Night,Foggy,Dry,Truck,Minor
Urban,Afternoon,Rainy,Dry,Car,Fatal
Highway,Morning,Rainy,Wet,Car,Fatal
Urban,Afternoon,Foggy,Dry,Motorcycle,Minor
Rural,Morning,Rainy,Dry,Motorcycle,Fatal
Urban,Night,Foggy,Dry,Car,Fatal
Rural,Afternoon,Clear,Under_Construction,Car,Minor
Rural,Night,Foggy,Wet,Motorcycle,Fatal
Rural,Night,Rainy,Dry,Truck,Severe
Urban,Morning,Clear,Wet,Truck,Severe
Rural,Night,Foggy,Dry,Car,Fatal
Urban,Night,Rainy,Dry,Motorcycle,Minor
Urban,Afternoon,Foggy,Under_Construction,Car,Minor
Urban,Afternoon,Clear,Dry,Motorcycle,Severe
Urban,Afternoon,Rainy,Dry,Motorcycle,Minor
Urban,Morning,Clear,Wet,Motorcycle,Severe
Rural,Afternoon,Clear,Under_Construction,Car,Minor
Urban,Night,Clear,Under_Construction,Car,Fatal
Urban,Morning,Foggy,Under_Construction,Motorcycle,Severe
Highway,Night,Rainy,Wet,Motorcycle,Minor
Highway,Night,Foggy,Dry,Truck,Fatal
Rural,Night,Foggy,Under_Construction,Motorcycle,Minor
